WKT,road_id,geometry_class,road_type,road_name_class,full_road_name,road_name_label,road_name_prefix,road_name_body,road_name_type,road_name_suffix,route_name_body,route_name_number,route_name_alpha,route_name_suffix,full_road_name_ascii,road_name_label_ascii,road_name_body_ascii
"MULTILINESTRING ((174.77151645 -36.8624940667,174.7725600167 -36.8637647167,174.773312 -36.8641164667,174.77377365 -36.86425345),(174.773854719405 -36.8645587304279,174.77388375 -36.86466805),(174.77377365 -36.86425345,174.773854719405 -36.8645587304279))",3072981,Addressing Road,Unknown,Road,Grandstand Road South,Grandstand Rd S,,Grandstand,Road,South,,,,,Grandstand Road South,Grandstand Rd S,Grandstand
"MULTILINESTRING ((174.7766866167 -36.8660077833,174.7769056333 -36.8653058),(174.7762894167 -36.8672719333,174.7765086833 -36.8665780667),(174.7765086833 -36.8665780667,174.77663545 -36.8661730667))",1825417,Addressing Road,Unknown,Road,Kingdon Street,Kingdon St,,Kingdon,Street,,,,,,Kingdon Street,Kingdon St,Kingdon
"LINESTRING (174.7690558333 -36.8636370167,174.76923125 -36.86326235,174.7694855667 -36.8625495333)",1825413,Addressing Road,Unknown,Road,Glasgow Terrace,Glasgow Tce,,Glasgow,Terrace,,,,,,Glasgow Terrace,Glasgow Tce,Glasgow
"LINESTRING (174.77661095 -36.8673343167,174.7763521 -36.8681231667)",1825428,Addressing Road,Unknown,Road,York Street,York St,,York,Street,,,,,,York Street,York St,York
"MULTILINESTRING ((174.7671774833 -36.8653130333,174.76755 -36.8645596167,174.76755315 -36.8645521),(174.7675484 -36.8645501833,174.7678714 -36.8634887333,174.7680158833 -36.8634188667))",1825430,Addressing Road,Unknown,Road,Claremont Street,Claremont St,,Claremont,Street,,,,,,Claremont Street,Claremont St,Claremont
"MULTILINESTRING ((174.771338508771 -36.8699909786325,174.771445213053 -36.8698770239071),(174.771445213053 -36.8698770239071,174.771449381627 -36.8698725720831),(174.7725771167 -36.8664669833,174.772547731957 -36.8665650643732),(174.772547731957 -36.8665650643732,174.7719671333 -36.868503),(174.77145465647 -36.8698678847234,174.771449381627 -36.8698725720831),(174.7719671333 -36.868503,174.7715819333 -36.8697547833,174.77145465647 -36.8698678847234))",1818884,Addressing Road,Unknown,Road,Maungawhau Road,Maungawhau Rd,,Maungawhau,Road,,,,,,Maungawhau Road,Maungawhau Rd,Maungawhau
"MULTILINESTRING ((174.7717541833 -36.86085535,174.7720110667 -36.8608911333),(174.7720110667 -36.8608911333,174.7725869 -36.8608867333,174.7730432833 -36.86060865,174.7732917333 -36.8601662667,174.77455935 -36.8596196333))",1829884,Addressing Road,Unknown,Road,Kiosk Road,Kiosk Rd,,Kiosk,Road,,,,,,Kiosk Road,Kiosk Rd,Kiosk
"LINESTRING (174.7762016833 -36.8519174167,174.7766784333 -36.8517607667,174.7769054333 -36.8515317833,174.7769108833 -36.8515249667)",1823946,Addressing Road,Unknown,Road,Mutu Street,Mutu St,,Mutu,Street,,,,,,Mutu Street,Mutu St,Mutu
"LINESTRING (174.7824484 -36.85113255,174.7833748667 -36.8509461833)",1824003,Addressing Road,Unknown,Road,Faraday Street,Faraday St,,Faraday,Street,,,,,,Faraday Street,Faraday St,Faraday
"MULTILINESTRING ((174.77053845 -36.86223045,174.7705459 -36.8622284667,174.7705538 -36.8622263833,174.7705617167 -36.8622243,174.77056965 -36.8622222333,174.7705776167 -36.8622202333,174.77058565 -36.8622182,174.7705937333 -36.8622161833,174.7706019167 -36.8622141667,174.7706101667 -36.8622121667,174.7706184833 -36.8622101667,174.7706269167 -36.8622081667,174.7706353667 -36.8622061833,174.77064385 -36.8622041667,174.7706524 -36.8622021,174.770656298796 -36.8622012661081),(174.7818177333 -36.8621907667,174.7814806667 -36.8620110833,174.7811605167 -36.8617906167),(174.770656298796 -36.8622012661081,174.7706612833 -36.8622002,174.7706701167 -36.8621982333,174.7706789667 -36.8621962,174.7706877833 -36.8621941167,174.7706966 -36.86219195,174.7707054167 -36.8621897,174.7707142167 -36.8621874,174.770723 -36.8621849833,174.7707317333 -36.8621825167,174.7707363333 -36.8621812,174.7707450667 -36.86217865,174.7707537833 -36.8621760333,174.7707624833 -36.86217335,174.77077115 -36.8621706167,174.7707797333 -36.8621677667,174.7707883167 -36.8621648833,174.7707968333 -36.86216205,174.7708053167 -36.8621592333,174.7708137667 -36.86215635,174.7708221167 -36.8621533833,174.77083045 -36.8621503833,174.7708387167 -36.8621473,174.7708469167 -36.8621441667,174.7708551333 -36.8621409667,174.7708635167 -36.8621377667,174.7708719833 -36.8621345167,174.7708804833 -36.8621312167,174.77088895 -36.8621279,174.7708972333 -36.8621245167,174.7708985667 -36.862124,174.7709066833 -36.8621208333,174.77091465 -36.8621176667,174.7709222667 -36.8621146,174.7709295 -36.86211165,174.7709362833 -36.8621088,174.7709427167 -36.86210605,174.7709488833 -36.8621033833,174.77095725 -36.8621006833,174.7709657 -36.86209815,174.7709739 -36.86209525,174.7709817833 -36.8620918167,174.7709894667 -36.8620881667,174.7709971167 -36.8620844833,174.7710047 -36.8620807167,174.7710122667 -36.8620769167,174.77101975 -36.86207305,174.7710271667 -36.86206915,174.77103455 -36.86206515,174.77104185 -36.8620611167,174.7710491 -36.862057,174.77105625 -36.86205285,174.7710633667 -36.8620486333,174.7710704 -36.8620443333,174.7710773833 -36.8620399667,174.7710842667 -36.86203555,174.7710854833 -36.8620348333,174.77109265 -36.8620306,174.7710998 -36.8620262833,174.7711068667 -36.8620219,174.7711138667 -36.8620174667,174.7711208167 -36.8620129667,174.7711276833 -36.8620084,174.7711344833 -36.8620037667,174.7711411833 -36.86199905,174.7711478 -36.8619942833,174.7711543167 -36.8619894333,174.7711607333 -36.8619845,174.7711670333 -36.8619794833,174.7711732167 -36.8619744,174.7711793167 -36.86196925,174.7711852667 -36.8619640167,174.7711910833 -36.8619587,174.7711967667 -36.8619532833,174.7712023167 -36.8619478,174.7712077167 -36.8619422167,174.7712129667 -36.8619365333,174.7712180667 -36.8619307833,174.7712192333 -36.8619294,174.7712241333 -36.8619235833,174.7712288333 -36.86191765,174.7712334 -36.8619116167,174.7712378 -36.8619055167,174.77124205 -36.8618993167,174.7712462 -36.8618930167,174.7712502 -36.86188665,174.7712541 -36.8618802167,174.7712579 -36.8618737333,174.7712616 -36.8618671667,174.7712652 -36.86186055,174.7712687333 -36.8618539,174.7712721833 -36.8618471833,174.7712755833 -36.8618404333,174.7712789333 -36.86183365,174.7712822333 -36.86182685,174.7712855 -36.8618200167,174.7712887333 -36.8618131833,174.77129195 -36.8618063167,174.7712951667 -36.86179945,174.7712983667 -36.8617925833,174.7713015833 -36.8617857167,174.7713048167 -36.8617788667,174.7713080667 -36.8617720333,174.77131135 -36.8617652,174.7713144667 -36.8617596667,174.7713181667 -36.8617531,174.77132185 -36.8617465167,174.77132555 -36.86173995,174.77132925 -36.8617334,174.7713329333 -36.8617268333,174.77133665 -36.8617202667,174.7713403667 -36.8617137,174.77134405 -36.8617071167,174.77134775 -36.8617005667,174.77135145 -36.8616939833,174.77135515 -36.8616873833,174.7713588333 -36.8616807833,174.7713625333 -36.8616741333,174.7713662 -36.8616675,174.7713698833 -36.8616608833,174.7713735833 -36.8616542333,174.77137725 -36.8616475667,174.77138095 -36.8616409333,174.77138465 -36.8616342833,174.7713883333 -36.8616276333,174.77139205 -36.8616209833,174.77139575 -36.8616143667,174.7713994667 -36.8616077333,174.7714032 -36.8616011,174.7714069333 -36.8615945,174.7714106667 -36.8615879,174.7714144167 -36.8615813167,174.7714181833 -36.86157475,174.7714219667 -36.86156815,174.7714256333 -36.861562,174.77142955 -36.8615554833,174.7714334833 -36.8615489833,174.7714374 -36.8615425,174.77144135 -36.8615360167,174.7714453333 -36.86152955,174.7714493167 -36.8615231167,174.7714532833 -36.8615166667,174.7714572833 -36.8615102333,174.7714613 -36.8615038167,174.7714653167 -36.8614974,174.77146935 -36.8614910167,174.7714733833 -36.8614846167,174.7714774167 -36.8614782167,174.7714814667 -36.86147185,174.7714855167 -36.86146545,174.7714895667 -36.8614590833,174.7714936167 -36.8614527167,174.7714976833 -36.8614463333,174.7715017333 -36.86143995,174.77150575 -36.8614335667,174.7715098 -36.8614271833,174.7715138333 -36.8614208,174.77151785 -36.8614144167,174.7715218833 -36.8614080333,174.7715258667 -36.86140165,174.7715298833 -36.86139525,174.7715338667 -36.86138885,174.77153785 -36.86138245,174.7715418 -36.86137605,174.77154575 -36.8613696333,174.7715496833 -36.8613632,174.7715536 -36.8613567667,174.7715575 -36.8613503167,174.7715613833 -36.8613438833,174.77156525 -36.8613374167,174.7715691 -36.86133095,174.771572 -36.8613263,174.7715760167 -36.8613198833,174.7715800333 -36.8613134333,174.7715840333 -36.8613069833,174.77158805 -36.86130055,174.7715920333 -36.8612941167,174.7715960167 -36.8612876833,174.7715999833 -36.8612812,174.7716039167 -36.8612746833,174.7716078333 -36.8612681333,174.7716117333 -36.86126155,174.7716156167 -36.8612549333,174.7716991167 -36.8610844333,174.7717015167 -36.8610775333,174.77170385 -36.8610706333,174.7717061167 -36.8610637167,174.7717083 -36.8610567833,174.7717104667 -36.8610498333,174.77171255 -36.8610428667,174.77171455 -36.86103585,174.7717165167 -36.86102885,174.7717184333 -36.86102185,174.7717203 -36.8610148167,174.7717221167 -36.8610077833,174.7717238833 -36.8610007333,174.7717256 -36.8609936667,174.7717272833 -36.8609865833,174.7717289333 -36.8609795167,174.7717541833 -36.86085535),(174.7748489167 -36.8589702167,174.7754239333 -36.8587812167,174.7756932667 -36.8585680333),(174.7756932667 -36.8585680333,174.7769153833 -36.85816535),(174.7769153833 -36.85816535,174.7772799667 -36.8580356),(174.7811605167 -36.8617906167,174.7810746167 -36.8617314667,174.7806615 -36.8611298333),(174.7717541833 -36.86085535,174.7718359333 -36.8604128833,174.7719260833 -36.8602030167,174.7720636333 -36.8599807167,174.7722229 -36.8597978,174.7724043 -36.8596038833,174.7726064667 -36.8594513833,174.7728905833 -36.8592984833,174.7732069 -36.8591924333,174.7736662 -36.85911995,174.7741038333 -36.85908235),(174.7741038333 -36.85908235,174.7748489167 -36.8589702167),(174.7772799667 -36.8580356,174.7775471 -36.8580176667,174.77775935 -36.8580631,174.777966 -36.8581871,174.7781601667 -36.85843665,174.7786247833 -36.85919065,174.7791918 -36.8598907333,174.77956255 -36.86060805,174.7798969333 -36.8608411833,174.7806615 -36.8611298333))",1824344,Addressing Road,Unknown,Road,Domain Drive,Domain Dr,,Domain,Drive,,,,,,Domain Drive,Domain Dr,Domain
"LINESTRING (174.77751075 -36.8458647,174.7779285 -36.8448567833)",1824620,Addressing Road,Unknown,Road,French Street,French St,,French,Street,,,,,,French Street,French St,French
"MULTILINESTRING ((174.7787382167 -36.8511244833,174.7790217167 -36.85158935),(174.7796512667 -36.85261615,174.7800165667 -36.8531967833),(174.7790217167 -36.85158935,174.7796512667 -36.85261615))",1824684,Addressing Road,Unknown,Road,Bath Street,Bath St,,Bath,Street,,,,,,Bath Street,Bath St,Bath
"MULTILINESTRING ((174.7784585333 -36.8609826667,174.7787213667 -36.8610352167),(174.7771569167 -36.8600824833,174.7771650667 -36.8611538167,174.7772753833 -36.8613464333,174.7774575833 -36.8614811667,174.7777241333 -36.86155375,174.77804805 -36.86156065,174.77836695 -36.8613184,174.7784585333 -36.8609826667),(174.7771569167 -36.8600824833,174.7783296 -36.86008545,174.7784496667 -36.8601644833,174.77843705 -36.8607865667,174.7784494667 -36.86093015,174.7784585333 -36.8609826667),(174.7763070333 -36.8595060667,174.7762725 -36.8597162167,174.77639395 -36.8600545,174.7771569167 -36.8600824833))",1829888,Addressing Road,Unknown,Road,Museum Circuit,Museum Circuit,,Museum Circuit,,,,,,,Museum Circuit,Museum Circuit,Museum Circuit
"MULTILINESTRING ((174.7788014833 -36.8536615,174.7783967 -36.8538237333),(174.7792522833 -36.8534862667,174.7788014833 -36.8536615))",1831511,Addressing Road,Unknown,Road,Akaroa Street,Akaroa St,,Akaroa,Street,,,,,,Akaroa Street,Akaroa St,Akaroa
"MULTILINESTRING ((174.7816907833 -36.8559182167,174.78186375 -36.8561953),(174.7804488333 -36.8538609,174.7809575667 -36.8547123333),(174.7816491667 -36.85585085,174.7816907833 -36.8559182167),(174.7809575667 -36.8547123333,174.7816491667 -36.85585085))",1831524,Addressing Road,Unknown,Road,Scarborough Terrace,Scarborough Tce,,Scarborough,Terrace,,,,,,Scarborough Terrace,Scarborough Tce,Scarborough
"MULTILINESTRING ((174.7809956 -36.8536546833,174.78103235 -36.85375135,174.7826602 -36.8533692),(174.7796724833 -36.8541540167,174.7804488333 -36.8538609),(174.7804488333 -36.8538609,174.7809956 -36.8536546833))",1831581,Addressing Road,Unknown,Road,Ruskin Street,Ruskin St,,Ruskin,Street,,,,,,Ruskin Street,Ruskin St,Ruskin
"MULTILINESTRING ((174.775135342279 -36.8690932847879,174.775146244766 -36.8691478454924,174.775150922007 -36.8692033011682,174.775141491588 -36.8692509623244,174.7750873667 -36.8694047667),(174.7750873667 -36.8694047667,174.774896086806 -36.8699909786325))",1818806,Addressing Road,Unknown,Road,Gillies Avenue,Gillies Ave,,Gillies,Avenue,,,,,,Gillies Avenue,Gillies Ave,Gillies
"MULTILINESTRING ((174.7777213 -36.8693766,174.7775628167 -36.8698459333),(174.7777509 -36.8692889333,174.7777231 -36.86937125,174.7777213 -36.8693766),(174.7799214167 -36.8639398833,174.7799037 -36.8639551333,174.779183300064 -36.8646350795261,174.779081162577 -36.8647684849526,174.779010512309 -36.8648954129754),(174.7785424667 -36.8667178667,174.7782446667 -36.8676612),(174.779010512309 -36.8648954129754,174.779026084325 -36.8650337660056,174.77902418221 -36.8651426421952,174.7785424667 -36.8667178667),(174.7780776 -36.8681784333,174.7777509 -36.8692889333),(174.7782446667 -36.8676612,174.7780776 -36.8681784333),(174.7775628167 -36.8698459333,174.777516051813 -36.8699909786325))",3071819,Addressing Road,Unknown,Road,Broadway,Broadway,,Broadway,,,,,,,Broadway,Broadway,Broadway
"LINESTRING (174.7649984667 -36.84511315,174.7648448167 -36.8451015667,174.764717343952 -36.8450626597074)",1824513,Addressing Road,Unknown,Road,Wolfe Street,Wolfe St,,Wolfe,Street,,,,,,Wolfe Street,Wolfe St,Wolfe
"MULTILINESTRING ((174.76480475 -36.8475823,174.7651569 -36.8476889167),(174.764717343952 -36.8475553311104,174.76480475 -36.8475823),(174.764717343952 -36.8478064556089,174.76480475 -36.8475823))",1824349,Addressing Road,Unknown,Road,Durham Lane,Durham Lane,,Durham,Lane,,,,,,Durham Lane,Durham Lane,Durham
"LINESTRING (174.7721794167 -36.8471785833,174.7712700167 -36.8475842833)",1824301,Addressing Road,Unknown,Road,Short Street,Short St,,Short,Street,,,,,,Short Street,Short St,Short
"LINESTRING (174.7736866667 -36.8667033833,174.773362 -36.8677760333)",1825412,Addressing Road,Unknown,Road,McColl Street,McColl St,,McColl,Street,,,,,,McColl Street,McColl St,McColl
"MULTILINESTRING ((174.7771612833 -36.8682981,174.7774225333 -36.8674979667),(174.7771413167 -36.8683639167,174.7769133167 -36.8690891833),(174.7771413167 -36.8683639167,174.7771612833 -36.8682981))",1825426,Addressing Road,Unknown,Road,Osborne Street,Osborne St,,Osborne,Street,,,,,,Osborne Street,Osborne St,Osborne
"MULTILINESTRING ((174.776816205884 -36.8699909786325,174.77689095 -36.8697819333),(174.77689095 -36.8697819333,174.7769663833 -36.8695405667))",1793959,Addressing Road,Unknown,Road,Bourke Street,Bourke St,,Bourke,Street,,,,,,Bourke Street,Bourke St,Bourke
"MULTILINESTRING ((174.7697275167 -36.8685767667,174.77025355 -36.8689538167,174.7709049667 -36.8694265,174.771449381627 -36.8698725720831),(174.7697054 -36.868561,174.7697275167 -36.8685767667),(174.771445213053 -36.8698770239071,174.771541755318 -36.8699909786325),(174.771449381627 -36.8698725720831,174.771585304906 -36.8699909786325),(174.77145465647 -36.8698678847234,174.77167443457 -36.8699909786325),(174.767386550963 -36.8663204913829,174.767403687352 -36.8663682569699),(174.7671774833 -36.8653130333,174.7671784667 -36.8655887167,174.7671941333 -36.86573925,174.7672284667 -36.8658819,174.76735185 -36.8662237667,174.767386550963 -36.8663204913829),(174.7675590833 -36.8661609,174.767604567157 -36.8662791944517),(174.7680906667 -36.86550065,174.7676766833 -36.86550295,174.7676137 -36.8655206833,174.76756925 -36.8655459833,174.7675313833 -36.8656012167,174.7675232667 -36.86567485,174.7675638167 -36.8657734,174.7677067667 -36.8660308333,174.76775735 -36.8661454833,174.767833085636 -36.8662872913169),(174.7663316833 -36.86407735,174.7666370167 -36.8643577333,174.7669541167 -36.8647344,174.7672471667 -36.8652687167,174.7675590833 -36.8661609),(174.764717343952 -36.863427357125,174.7649098833 -36.8635152,174.7657075333 -36.8638753667,174.7663316833 -36.86407735),(174.764717343952 -36.862993322671,174.7647679333 -36.8630406833),(174.764717343952 -36.8603825230198,174.7647771833 -36.8602921,174.7649426833 -36.8600791167,174.7652641 -36.8597065833,174.7653831333 -36.8595493,174.7654407167 -36.8594840833),(174.7647679333 -36.8630406833,174.76535605 -36.8634539167,174.7659964 -36.863828,174.7663316833 -36.86407735),(174.7647679333 -36.8630406833,174.764717343952 -36.8629217191014),(174.764717343952 -36.8612448593058,174.7647558833 -36.86120005,174.7648225 -36.86114035,174.7649384333 -36.8610251333,174.7650945333 -36.8609127167,174.7655015667 -36.8606333667,174.7658439833 -36.86040995,174.76596405 -36.8603033667,174.7661504833 -36.8601437,174.7663624667 -36.8599243833,174.7666421167 -36.8596364167,174.76702745 -36.8591846167,174.7672175167 -36.8589366333,174.7673676 -36.8587522167),(174.7654407167 -36.8594840833,174.76546985 -36.8594487833,174.7658961833 -36.8589438167),(174.768364065229 -36.8677931291568,174.7685222167 -36.8679151167,174.7697054 -36.868561),(174.7685257667 -36.8676622167,174.7688769667 -36.8679673333,174.7697054 -36.868561),(174.768684739718 -36.8675388827767,174.7697054 -36.868561),(174.767403687352 -36.8663682569699,174.7674857333 -36.86659695,174.7675729833 -36.86680745,174.7676767 -36.8670042,174.7677748667 -36.8671621333,174.7678692667 -36.8672956667,174.76798485 -36.8674338833,174.7681073833 -36.8675644667,174.7682722167 -36.8677222833,174.768364065229 -36.8677931291568),(174.767604567157 -36.8662791944517,174.76768805 -36.8664963167,174.7680050167 -36.8670801333,174.7684936833 -36.8676343333,174.7685257667 -36.8676622167),(174.767833085636 -36.8662872913169,174.7678674667 -36.8663516667,174.7679763167 -36.8665737667,174.7680616667 -36.8667408667,174.76817085 -36.86693265,174.76825905 -36.8670557167,174.76836815 -36.8671854167,174.7684910667 -36.8673449333,174.768684739718 -36.8675388827767),(174.768481639538 -36.8541428735228,174.76862795 -36.85431685,174.7687873667 -36.8545533667),(174.76839544062 -36.8540434446821,174.7684721167 -36.85413155,174.768481639538 -36.8541428735228),(174.7679843667 -36.85644455,174.7681407167 -36.8562575,174.7684972833 -36.8558217167,174.7687406333 -36.85550515,174.7688072167 -36.8553962667),(174.7676755333 -36.8568103667,174.7679843667 -36.85644455),(174.76731115 -36.8572344833,174.7676755333 -36.8568103667),(174.7688072167 -36.8553962667,174.76881595 -36.8553805,174.7688644167 -36.8552618,174.7688862667 -36.8551390167,174.7689050833 -36.8550454167,174.7689042167 -36.8549329,174.7688909 -36.8548300333,174.7688508 -36.85469085,174.7687873667 -36.8545533667),(174.7683101 -36.8539453833,174.76839544062 -36.8540434446821),(174.7673664 -36.8527863167,174.7683101 -36.8539453833),(174.7658961833 -36.8589438167,174.7659949833 -36.8588265833,174.7663265 -36.8584282833),(174.7663265 -36.8584282833,174.76715375 -36.8574314333,174.76731115 -36.8572344833))",3073727,Addressing Road,Unknown,Road Designation,State Highway 1,SH 1,,,,,State Highway,1,,,State Highway 1,SH 1,
"MULTILINESTRING ((174.7798329 -36.8618747,174.7806615 -36.8611298333),(174.77807525 -36.8634774667,174.778151992867 -36.8634075160035),(174.778151992867 -36.8634075160035,174.7798145 -36.86189215,174.7798329 -36.8618747))",1824529,Addressing Road,Unknown,Road,Titoki Street,Titoki St,,Titoki,Street,,,,,,Titoki Street,Titoki St,Titoki
"MULTILINESTRING ((174.76555178695 -36.8482845983661,174.76533225 -36.8490373833),(174.7655647833 -36.8482380333,174.76555178695 -36.8482845983661),(174.7657997667 -36.84741375,174.7655647833 -36.8482380333),(174.7662686833 -36.8458286,174.7662051 -36.8460378167,174.7660899167 -36.8464154833),(174.7664731667 -36.8451540667,174.7662686833 -36.8458286),(174.7672504167 -36.84330535,174.7670928333 -36.8437064333),(174.7670928333 -36.8437064333,174.766865532927 -36.8442427702672),(174.7666727167 -36.8446752667,174.766559543989 -36.8448658649557,174.7664731667 -36.8451540667),(174.766865532927 -36.8442427702672,174.7666727167 -36.8446752667),(174.7659177667 -36.8470061333,174.7657997667 -36.84741375),(174.7660899167 -36.8464154833,174.7659177667 -36.8470061333),(174.7650555 -36.8496969333,174.764717343952 -36.8504591127583),(174.76533225 -36.8490373833,174.7652924 -36.8491599667,174.7650555 -36.8496969333))",1831459,Addressing Road,Unknown,Road,Queen Street,Queen St,,Queen,Street,,,,,,Queen Street,Queen St,Queen
"MULTILINESTRING ((174.7774193167 -36.8517285667,174.7780832167 -36.8519776667,174.7782945 -36.85196215),(174.7771327167 -36.8516140333,174.7774193167 -36.8517285667),(174.7769108833 -36.8515249667,174.7771327167 -36.8516140333),(174.7742943333 -36.8504806167,174.7752565333 -36.85086575),(174.775472920437 -36.8509561444836,174.7759138333 -36.8511403333),(174.7752565333 -36.85086575,174.775472920437 -36.8509561444836),(174.7759138333 -36.8511403333,174.77631745 -36.8512941167),(174.77644525 -36.8513482,174.7769108833 -36.8515249667),(174.77631745 -36.8512941167,174.77644525 -36.8513482))",1830562,Addressing Road,Unknown,Road,Parnell Rise,Parnell Rise,,Parnell,Rise,,,,,,Parnell Rise,Parnell Rise,Parnell
"LINESTRING (174.7985734 -36.86398645,174.7988108 -36.8623729,174.79814385 -36.862308,174.7979121 -36.8624403333,174.7973205 -36.8637420333,174.79738365 -36.8639857667,174.7974798333 -36.8640789667)",1831494,Addressing Road,Unknown,Road,Burwood Crescent,Burwood Cres,,Burwood,Crescent,,,,,,Burwood Crescent,Burwood Cres,Burwood
"LINESTRING (174.8000193667 -36.8670514333,174.80110955587 -36.8671637905712)",1823767,Addressing Road,Unknown,Road,Sonia Avenue,Sonia Ave,,Sonia,Avenue,,,,,,Sonia Avenue,Sonia Ave,Sonia
"MULTILINESTRING ((174.7977369333 -36.8660343167,174.7977926833 -36.8661801167),(174.7974798333 -36.8640789667,174.79753665 -36.8641643667,174.7975096833 -36.8654690667,174.7977352 -36.8660302167,174.7977369333 -36.8660343167))",1823792,Addressing Road,Unknown,Road,Stirling Street,Stirling St,,Stirling,Street,,,,,,Stirling Street,Stirling St,Stirling
"MULTILINESTRING ((174.7692771667 -36.8442864167,174.770818575811 -36.8446904459351),(174.7670928333 -36.8437064333,174.76776735 -36.8438815667),(174.7684281667 -36.8440555833,174.7692771667 -36.8442864167),(174.76776735 -36.8438815667,174.7684281667 -36.8440555833))",1824140,Addressing Road,Unknown,Road,Tyler Street,Tyler St,,Tyler,Street,,,,,,Tyler Street,Tyler St,Tyler
"MULTILINESTRING ((174.7658657167 -36.8515030667,174.7661705167 -36.8508223),(174.7661705167 -36.8508223,174.766722521473 -36.8494346374466),(174.766722521473 -36.8494346374466,174.766761706508 -36.8493261934836),(174.769145247226 -36.8481246602508,174.769578739833 -36.8481954981705,174.769920993176 -36.8482931327968),(174.767945832515 -36.8483051889475,174.768194339833 -36.8482494759901,174.768522498228 -36.8481745199002,174.768870842539 -36.8481331232082,174.769145247226 -36.8481246602508),(174.766761706508 -36.8493261934836,174.766917819482 -36.8490633370344,174.767074108908 -36.8488500308462,174.76730912878 -36.8486473750377,174.767491083956 -36.8485246265944),(174.767491083956 -36.8485246265944,174.767821661195 -36.8483720546951,174.767945832515 -36.8483051889475))",1831532,Addressing Road,Unknown,Road,Kitchener Street,Kitchener St,,Kitchener,Street,,,,,,Kitchener Street,Kitchener St,Kitchener
"MULTILINESTRING ((174.7704359167 -36.8471092333,174.769920993176 -36.8482931327968),(174.7685105167 -36.8513051167,174.7681783167 -36.8519706167,174.7673664 -36.8527863167),(174.769920993176 -36.8482931327968,174.7685105167 -36.8513051167))",1831562,Addressing Road,Unknown,Road,Princes Street,Princes St,,Princes,Street,,,,,,Princes Street,Princes St,Princes
"LINESTRING (174.7806744 -36.85682525,174.7809135667 -36.8572113667,174.7799363 -36.8576028333)",1824373,Addressing Road,Unknown,Road,Aorere Street,Aorere St,,Aorere,Street,,,,,,Aorere Street,Aorere St,Aorere
"MULTILINESTRING ((174.7654407167 -36.8594840833,174.7663049 -36.8599790333,174.7669733833 -36.86036445),(174.764717343952 -36.859057976174,174.7654407167 -36.8594840833))",1829759,Addressing Road,Unknown,Road,Grafton Bridge,Grafton Brg,,Grafton,Bridge,,,,,,Grafton Bridge,Grafton Brg,Grafton
"MULTILINESTRING ((174.765554098967 -36.8561212011109,174.765717 -36.8563847667),(174.7650545667 -36.8553129833,174.765554098967 -36.8561212011109),(174.7649654 -36.85515665,174.7650545667 -36.8553129833),(174.764717343952 -36.8547138853641,174.7649654 -36.85515665))",3069277,Addressing Road,Unknown,Road,Airedale Street,Airedale St,,Airedale,Street,,,,,,Airedale Street,Airedale St,Airedale
"MULTILINESTRING ((174.7807185167 -36.8529381667,174.7809956 -36.8536546833),(174.7794608833 -36.8508324167,174.7797724667 -36.8513265167),(174.7804472333 -36.8524035167,174.7804835 -36.85244905,174.7806937167 -36.8528728167,174.7807185167 -36.8529381667),(174.7797724667 -36.8513265167,174.7804151667 -36.85236385,174.7804472333 -36.8524035167))",1831502,Addressing Road,Unknown,Road,Bradford Street,Bradford St,,Bradford,Street,,,,,,Bradford Street,Bradford St,Bradford
"LINESTRING (174.7658710667 -36.8639284167,174.7661544667 -36.8630213667)",1835303,Addressing Road,Unknown,Road,Arotau Place,Arotau Pl,,Arotau,Place,,,,,,Arotau Place,Arotau Pl,Arotau
"LINESTRING (174.7647491167 -36.85729025,174.764717343952 -36.8572773117833)",3015336,Addressing Road,Unknown,Road,City Road,City Rd,,City,Road,,,,,,City Road,City Rd,City
"LINESTRING (174.767945832515 -36.8483051889475,174.7680310333 -36.8476755333)",1818666,Addressing Road,Unknown,Road,Bacon's Lane,Bacon's Lane,,Bacon's,Lane,,,,,,Bacon's Lane,Bacon's Lane,Bacon's
"MULTILINESTRING ((174.773854719405 -36.8645587304279,174.77388375 -36.86466805),(174.77151645 -36.8624940667,174.7717592667 -36.8616266667,174.7720110667 -36.8608911333),(174.77377365 -36.86425345,174.773854719405 -36.8645587304279),(174.77151645 -36.8624940667,174.7725600167 -36.8637647167,174.773312 -36.8641164667,174.77377365 -36.86425345))",3070483,Addressing Road,Unknown,Road,Boundary Road,Boundary Rd,,Boundary,Road,,,,,,Boundary Road,Boundary Rd,Boundary
"MULTILINESTRING ((174.78189215 -36.8493720833,174.7819264667 -36.8494002167,174.7819841667 -36.8494386667,174.7820493667 -36.8494889667,174.7821125 -36.8495507,174.78214935 -36.8496033667,174.7821933667 -36.8496805333),(174.78189215 -36.8493720833,174.78186165 -36.8493408167,174.78174315 -36.8490261167,174.7816596 -36.8487265667))",1832975,Addressing Road,Unknown,Road,Sudbury Terrace,Sudbury Tce,,Sudbury,Terrace,,,,,,Sudbury Terrace,Sudbury Tce,Sudbury
"LINESTRING (174.7721750667 -36.8544985667,174.7725264 -36.8541519667,174.7726910667 -36.8540822167)",1837223,Addressing Road,Unknown,Road,Tennis Lane,Tennis Lane,,Tennis,Lane,,,,,,Tennis Lane,Tennis Lane,Tennis
