WKT,road_id,geometry_class,road_type,road_name_class,full_road_name,road_name_label,road_name_prefix,road_name_body,road_name_type,road_name_suffix,route_name_body,route_name_number,route_name_alpha,route_name_suffix,full_road_name_ascii,road_name_label_ascii,road_name_body_ascii
"LINESTRING (174.7763070333 -36.8595060667,174.7777065833 -36.8594900833,174.7782770167 -36.8595191667,174.77842955 -36.8595835,174.7785921833 -36.85975905,174.77871465 -36.8599393167,174.7787213667 -36.8610352167)",1829883,Addressing Road,Unknown,Road,Cenotaph Road,Cenotaph Rd,,Cenotaph,Road,,,,,,Cenotaph Road,Cenotaph Rd,Cenotaph
"MULTILINESTRING ((174.7744765167 -36.8487666833,174.7747790833 -36.8487735833,174.7757318 -36.8484607167,174.7758597333 -36.8484129333),(174.7758597333 -36.8484129333,174.7760537333 -36.8484993167,174.7762538 -36.8486456),(174.7756685667 -36.84779985,174.7756872833 -36.847933,174.7757149333 -36.8482366667,174.7757422333 -36.8483483,174.7758597333 -36.8484129333),(174.774177 -36.8480793,174.7744553667 -36.8479711333,174.7747406 -36.8478705333,174.7749057833 -36.8478391667,174.7756000833 -36.8478063333,174.7756685667 -36.84779985),(174.7756685667 -36.84779985,174.7757578 -36.8477512667,174.7759161333 -36.8477245667))",1830374,Addressing Road,Unknown,Road,Te Taou Crescent,Te Taou Cres,,Te Taou,Crescent,,,,,,Te Taou Crescent,Te Taou Cres,Te Taou
"MULTILINESTRING ((174.798383256116 -36.8699909786325,174.79837245 -36.8699899667,174.7971941167 -36.8698866333),(174.7971941167 -36.8698866333,174.7960685167 -36.86979095))",1831492,Addressing Road,Unknown,Road,Ingram Road,Ingram Rd,,Ingram,Road,,,,,,Ingram Road,Ingram Rd,Ingram
"MULTILINESTRING ((174.7808884833 -36.8698046833,174.7808765333 -36.8697937,174.7808643333 -36.8697822667,174.7808522 -36.8697707833,174.78084 -36.8697593167,174.7808276667 -36.8697479,174.78081505 -36.8697365667,174.7808020833 -36.8697253333,174.7807891167 -36.8697140167,174.78077635 -36.8697026333,174.7807636333 -36.8696912167,174.78075785 -36.8696856167,174.7807458333 -36.8696737,174.780734 -36.8696616333,174.7807223 -36.8696495167,174.7807106833 -36.8696373167,174.7806990667 -36.8696251333,174.7806874167 -36.8696129833,174.7806756667 -36.8696009167,174.7806637167 -36.8695889833,174.78065155 -36.8695772333,174.78063915 -36.8695656833,174.7806263833 -36.8695544,174.780626 -36.8695540667,174.7806126 -36.8695433,174.7805988667 -36.86953275,174.7805848833 -36.8695224333,174.78057065 -36.8695123,174.7805561833 -36.86950235,174.7805415 -36.8694925333,174.78052665 -36.8694828667,174.7805116833 -36.8694733,174.7804966 -36.8694638333,174.7804814667 -36.8694544167,174.78046625 -36.86944505,174.78045105 -36.8694356667,174.7804358833 -36.8694263167,174.7801533 -36.86924525),(174.7799397 -36.8690608833,174.7799490167 -36.86907195,174.7799607833 -36.8690851833,174.7799734 -36.8690987667,174.7799862833 -36.86911175,174.7800002 -36.8691251833,174.7800138833 -36.8691380333,174.78002675 -36.8691498167,174.7800394833 -36.86916135,174.7800525 -36.8691730167,174.7800650833 -36.8691842833,174.7800766167 -36.8691946167,174.7800833167 -36.8692007,174.7801533 -36.86924525),(174.7799397 -36.8690608833,174.77993825 -36.86905915,174.7799280833 -36.8690461667,174.77992695 -36.8690446167),(174.7803526 -36.867587,174.78035855 -36.86758285,174.7803732 -36.8675727667,174.7803878333 -36.8675627167,174.78040255 -36.8675527,174.7804172167 -36.8675426833,174.7804318 -36.86753265,174.7804463667 -36.8675225667,174.7804608833 -36.8675124333),(174.7800585833 -36.8678956167,174.7800588833 -36.8678950167,174.7800678167 -36.8678779667,174.7800767167 -36.8678619333,174.7800856 -36.8678469833,174.7800949167 -36.8678325833,174.7801049667 -36.8678180833,174.78011595 -36.8678029667,174.7801272167 -36.8677882,174.7801343167 -36.8677793833,174.7801468667 -36.8677649333,174.7801598833 -36.8677509167,174.7801729667 -36.8677376167,174.7801865 -36.8677245167,174.7802011333 -36.8677111833,174.7802161333 -36.867698,174.7802316167 -36.8676847,174.7802472667 -36.8676716167,174.7802630667 -36.8676585833,174.7802789833 -36.8676457667,174.7802950667 -36.8676329333,174.7803111833 -36.86762015,174.7803273333 -36.8676072833,174.7803434167 -36.8675944333,174.7803526 -36.867587),(174.77992695 -36.8690446167,174.77991955 -36.8690272,174.7799121833 -36.86901005,174.7799055167 -36.8689940167,174.77989885 -36.8689780167,174.7798915 -36.8689610167,174.7798842333 -36.8689439833,174.7798770833 -36.86892695,174.7798701167 -36.86890985,174.7798633833 -36.8688927167,174.7798569333 -36.8688755167,174.7798508 -36.8688582833,174.7798451 -36.86884095,174.7798398167 -36.8688236,174.779835 -36.8688061333,174.77983075 -36.8687886,174.7798270833 -36.8687709,174.7798241 -36.8687532,174.7798233 -36.8687473333,174.7798216167 -36.8687296333,174.77982065 -36.8687118333,174.77982025 -36.8686940667,174.7798204667 -36.8686761667,174.77982125 -36.8686582667,174.7798226 -36.8686403667,174.7798244667 -36.8686224167,174.7798268 -36.8686044667,174.7798295833 -36.8685865167,174.77983275 -36.8685686,174.7798362833 -36.8685505833,174.7798401833 -36.8685325667,174.7798443667 -36.8685145833,174.77984885 -36.8684966333,174.7798535833 -36.8684787,174.7798585 -36.8684608,174.7798636 -36.8684429167,174.7798688667 -36.8684250667,174.7798742167 -36.8684072667,174.7798785167 -36.8683930333,174.7798824833 -36.8683752833,174.7798866333 -36.86835755,174.7798909833 -36.86833985,174.7798919333 -36.8683361667),(174.7798919333 -36.8683361667,174.7798955167 -36.8683221833,174.7799002667 -36.8683045,174.7799052333 -36.8682868333,174.77991035 -36.8682692167,174.7799155833 -36.86825175,174.77992095 -36.8682343667,174.7799265167 -36.8682169667,174.7799324167 -36.86819945,174.77993845 -36.8681820167,174.77994465 -36.8681646333,174.7799510167 -36.8681473333,174.7799575333 -36.8681303,174.7799640333 -36.8681142167,174.7799706667 -36.8680983333,174.7799778833 -36.86808085,174.7799852667 -36.8680639167,174.7799929667 -36.8680467667,174.779995 -36.8680423333,174.78000195 -36.8680242667,174.7800090833 -36.8680061,174.7800163333 -36.86798805,174.7800237833 -36.8679701167,174.78003155 -36.8679520833,174.7800402833 -36.8679329833,174.7800497667 -36.8679133,174.7800585833 -36.8678956167))",1832502,Addressing Road,Unknown,Road,James Cook Crescent,James Cook Cres,,James Cook,Crescent,,,,,,James Cook Crescent,James Cook Cres,James Cook
"MULTILINESTRING ((174.77489325 -36.84674525,174.7749795 -36.8467205833,174.7751546333 -36.8467013167,174.7754416167 -36.8466998167,174.7756872833 -36.8467235833,174.77585165 -36.8467575667,174.77595655 -36.8468085667,174.7760135 -36.84687195,174.7760545667 -36.8469487833,174.7760405167 -36.84711885,174.7759063 -36.8473841833,174.77589395 -36.8474824667,174.7759033667 -36.8475857667,174.7759079833 -36.84766305,174.7759161333 -36.8477245667),(174.7737147833 -36.8474164167,174.7740666 -36.8473223167,174.7743320667 -36.8472159333,174.7745852833 -36.8469104,174.7747134 -36.84680845,174.77489325 -36.84674525))",1832585,Addressing Road,Unknown,Road,Mahuhu Crescent,Mahuhu Cres,,Mahuhu,Crescent,,,,,,Mahuhu Crescent,Mahuhu Cres,Mahuhu
"LINESTRING (174.7724852167 -36.8446723333,174.7726764667 -36.8442081167,174.7728632167 -36.8437764833,174.7730457667 -36.8433458333,174.77319965 -36.84297785,174.7732511333 -36.8428631)",1824665,Addressing Road,Unknown,Road,Powerhouse Lane,Powerhouse Lane,,Powerhouse,Lane,,,,,,Powerhouse Lane,Powerhouse Lane,Powerhouse
"MULTILINESTRING ((174.7788755333 -36.8528866333,174.77795165 -36.8532366333),(174.77672315 -36.8526367667,174.77650775 -36.8525093),(174.77795165 -36.8532366333,174.7779160333 -36.8532503167,174.7778311167 -36.8532715667,174.7777505333 -36.8532466167,174.7773839333 -36.8530343833),(174.7773839333 -36.8530343833,174.77672315 -36.8526367667))",1823989,Addressing Road,Unknown,Road,Heather Street,Heather St,,Heather,Street,,,,,,Heather Street,Heather St,Heather
"LINESTRING (174.7873345167 -36.8604155667,174.7883540333 -36.8597103167)",1824413,Addressing Road,Unknown,Road,Whaiti Lane,Whaiti Lane,,Whaiti,Lane,,,,,,Whaiti Lane,Whaiti Lane,Whaiti
"MULTILINESTRING ((174.7735091667 -36.85015665,174.7742943333 -36.8504806167),(174.7728437167 -36.8498820667,174.7735091667 -36.85015665))",1824711,Addressing Road,Unknown,Road,Constitution Hill,Constitution Hl,,Constitution,Hill,,,,,,Constitution Hill,Constitution Hl,Constitution
"LINESTRING (174.7825136333 -36.861002,174.7821275833 -36.86086885,174.78199175 -36.8608546833,174.7818493667 -36.8607942833,174.7815763667 -36.8606063833)",1824730,Addressing Road,Unknown,Road,Claybrook Road,Claybrook Rd,,Claybrook,Road,,,,,,Claybrook Road,Claybrook Rd,Claybrook
