originx,originy,origin,destinationx,destinationy,destination
-36.7910588,174.77398597,414 LAKE RD,-36.79160165,174.77398388,433 LAKE RD
-36.76798362,174.75310692, BRIAN AVE,-36.74313355,174.71958642,18 COWLEY PL
-36.78708435,174.76209635,23 LAKE PUPUKE DR,-36.78200345,174.63987875,7 KOWHAI RD
-36.80517548,174.70640968,12a VERBENA RD,-36.80486303,174.70705868,16 VERBENA RD
-36.70092572,174.74624867,2A BRONWYN PL,-36.74313355,174.71958642,18 COWLEY PL
-36.87293215,174.6478197, ROBERTS RD,-36.87256368,174.64884617,30 ROBERTS RD
-36.80817303,174.79083353,13 WILLIAMSON AVE,-36.80888058,174.78859565,186 BAYSWATER AVE
-36.74497815,174.73334053, APOLLO DR,-36.74378102,174.73756648,23 CENTORIAN DR
-36.76172068,174.7389994,143 SUNNYNOOK RD,-36.74313355,174.71958642,18 COWLEY PL
-36.8123029,174.74386623,8 FAULKNER RD,-36.80935482,174.73057427,185 ONEWA RD
-36.74206253,174.72425655,25 TRITON DR,-36.73970695,174.72312212, CANAVERAL DR
-36.79580042,174.76590697,72 BARRYS POINT RD,-36.795315,174.765315,83 BARRYS POINT RD
-36.79651487,174.73897558,22 EBAN AVE,-36.79653022,174.73878135,24 EBAN AVE
-36.81547127,174.74558215,147 QUEEN ST,-36.81503803,174.74547912,153 QUEEN ST
-36.78473272,174.76066837, LAKE VIEW RD,-36.78424093,174.76098687,47 LAKE VIEW RD
-36.77960898,174.7528935,15 BROOK ST,-36.77970782,174.75299452,13 BROOK ST
-36.79269653,174.74672228,43 NORTHCOTE RD,-36.79109482,174.74650293,16 SUNNYBRAE RD
-36.75504211,174.72713411,160 SUNSET RD,-36.74313355,174.71958642,18 COWLEY PL
-36.77403532,174.76205722,24 SHAKESPEARE RD,-36.7736788,174.76193888,49 SHAKESPEARE RD
-36.76177975,174.73710257, TOTARAVALE DR,-36.75912463,174.73339717,63 TOTARAVALE DR
-36.77430008,174.71834372,27 MANUKA RD,-36.77407742,174.7186566,23B MANUKA RD
-36.80974873,174.71498795,9 ROSEBERRY AVE,-36.80907165,174.71542933,19 ROSEBERRY AVE
-36.81717537,174.74555725,125 QUEEN ST,-36.82367687,174.74817725, QUEEN ST
-36.79560932,174.75365673,40 AKORANGA DR,-36.79401647,174.75365145,5A KITEWAO ST
-36.80998787,174.74339993,15 LAKE RD,-36.80789752,174.7421695,18 KAWANA ST
-36.72123655,174.71653752,63 MEDALLION DR,-36.74313355,174.71958642,18 COWLEY PL
-36.77022433,174.76779928,31 MILFORD RD,-36.76924045,174.76818257,39 MILFORD RD
-36.74192188,174.72592153,40 CANAVERAL DR,-36.74313355,174.71958642,18 COWLEY PL
-36.79547453,174.75347778,38 AKORANGA DR,-36.79417087,174.75423593,1 TAHINGA ST
-36.76080182,174.73542272,29 TOTARAVALE DR,-36.76177975,174.73710257, TOTARAVALE DR
-36.75502462,174.72125303, CARIBBEAN DR,-36.75502462,174.72125303, CARIBBEAN DR
-36.84564382,174.76652467,62 QUEEN ST,-36.82367687,174.74817725, QUEEN ST
-36.78485765,174.77385953, HURSTMERE RD,-36.78172192,174.77427728,197 HURSTMERE RD
-36.76162972,174.73431128,11 TAWAVALE CRES,-36.76125992,174.7346036,5 TAWAVALE CRES
-36.86049125,174.72897542,30 FRANCIS ST,-36.79926248,174.7712884,19 FRANCIS ST
-36.80879817,174.70768172,32 WAIPA ST,-36.80879817,174.70768172,32 WAIPA ST
-36.80745808,174.69353277, RANGATIRA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.7586463,174.73758985,21 COCKAYNE CRES,-36.75678093,174.73599515,29 SALAMANCA RD
-36.75844848,174.73676335,31 COCKAYNE CRES,-36.75865787,174.73702213,27 COCKAYNE CRES
-36.77022433,174.76779928,31 MILFORD RD,-36.76804885,174.76882533,61 MILFORD RD
-36.7469133,174.73475853, CONSTELLATION DR,-36.74759587,174.73479392, PARKWAY DR
-36.79119805,174.77411675,412 LAKE RD,-36.82231505,174.7967756, LAKE RD
-36.70134143,174.73865488,6 GEOFFREY RD,-36.74313355,174.71958642,18 COWLEY PL
